Source_IP,Source_port,Destination_IP,Destination_port,Protocol,Timestamp,fwd_packets_amount,bwd_packets_amount,fwd_packets_length,bwd_packets_length,max_fwd_packet ,min_fwd_packet,max_bwd_packet,min_bwd_packet,FIN_count,SYN_count,RST_count,PSH_count,silence_windows,min_fwd_inter_arrival_time,max_fwd_inter_arrival_time,mean_fwd_inter_arrival_time,min_bwd_inter_arrival_time,max_bwd_inter_arrival_time,mean_bwd_inter_arrival_time,min_bib_inter_arrival_time,max_bib_inter_arrival_time,mean_bib_inter_arrival_time,first_packet_sizes_0,first_packet_sizes_1,first_packet_sizes_2,first_packet_sizes_3,first_packet_sizes_4,first_packet_sizes_5,first_packet_sizes_6,first_packet_sizes_7,first_packet_sizes_8,first_packet_sizes_9,first_packet_sizes_10,first_packet_sizes_11,first_packet_sizes_12,first_packet_sizes_13,first_packet_sizes_14,first_packet_sizes_15,first_packet_sizes_16,first_packet_sizes_17,first_packet_sizes_18,first_packet_sizes_19,first_packet_sizes_20,first_packet_sizes_21,first_packet_sizes_22,first_packet_sizes_23,first_packet_sizes_24,first_packet_sizes_25,first_packet_sizes_26,first_packet_sizes_27,first_packet_sizes_28,first_packet_sizes_29,min_packet_size,max_packet_size,mean_packet_size,STD_packet_size,mean_delta_byte,STD_delta_byte,bandwidth_0,bandwidth_1,bandwidth_2,bandwidth_3,bandwidth_4,bandwidth_5,bandwidth_6,bandwidth_7,bandwidth_8,bandwidth_9,bandwidth_10,bandwidth_11,bandwidth_12,bandwidth_13,bandwidth_14,bandwidth_15,bandwidth_16,bandwidth_17,bandwidth_18,bandwidth_19,bpp_0,bpp_1,bpp_2,beaconning_0,beaconning_1,beaconning_2,beaconning_3,beaconning_4,beaconning_5,beaconning_6,beaconning_7,beaconning_8,beaconning_9,beaconning_10,beaconning_11,beaconning_12,beaconning_13,beaconning_14,beaconning_15,beaconning_16,beaconning_17,beaconning_18,beaconning_19,pps_fwd,pps_bwd,count_big_requests,ACK_count,attribution
172.20.10.2,59304,100.94.63.78,37209,udp,1719007959.434342,11223,11346,11223,11347,1258,70,1231,78,0,0,0,0,959,1.2874603271484377e-05,0.0399119853973388,0.0026910156104522,0.0,0.0458829402923584,0.0026614319473352,0.0,0.0458829402923584,0.0026761431640999,1189,1189,1189,1189,1189,1189,1189,1189,99,-903,-902,-1001,-1000,-972,-972,-972,-971,-1022,-1022,-1022,-1022,78,78,-974,-1024,99,1190,1190,1190,1190,70,1258,928.8435976960568,388.7881397748534,218.9335371527316,388.1129604792561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734253,732884,729850,1707347,1730057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.5702629767628,375.6756459054912,8479,0,real_time_audio
10.9.0.93,55052,216.58.204.138,443,udp,1727195329.414179,27,30,13,16,1292,73,1292,63,0,0,0,0,7,2.5033950805664062e-05,0.0571908950805664,0.0154012574089898,0.0,0.0595290660858154,0.011161470413208,0.0,0.0595290660858154,0.0131697905691046,1292,1292,-82,-1292,-1292,-1292,1292,-1292,-1292,-1292,81,82,-704,208,1288,1292,643,188,-1013,-163,73,-65,-65,-70,-879,-231,77,74,-66,0,65,1292,654.2068965517242,552.762116279523,369.2142857142857,443.79913065186025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.354923312740006,57.0522133079877,7,0,real_time_audio
10.9.0.93,61000,142.250.180.138,443,udp,1727195094.247086,27,30,13,16,1292,73,1292,64,0,0,0,0,8,1.9073486328125e-05,0.0555639266967773,0.0154497358534071,0.0,0.0597920417785644,0.0111312309900919,0.0,0.0597920417785644,0.0131768385569254,1292,1292,-82,-1292,-1292,-1292,1292,-1292,-1292,-1292,81,82,-685,205,1288,1292,639,188,-1013,-163,-65,73,-65,-70,-877,-301,77,74,-66,0,65,1292,655.6551724137931,551.0738279509892,368.5,440.5929040995295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.542276122970186,57.28280138211715,7,0,real_time_audio
10.9.0.93,61660,216.58.204.238,443,udp,1727194568.66699,184,325,7,0,1292,73,1292,64,0,0,0,0,1,3.600120544433594e-05,3.3140769004821777,0.058643102645874,0.0,3.344158172607422,0.0330436735886793,0.0,3.344158172607422,0.0422976911653469,1292,1292,1292,1292,1292,1292,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292,1292,1292.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3876,2584,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7498897532541042,0.0,7,0,real_time_audio
192.168.43.214,62655,10.100.102.3,61770,udp,1718800097.056983,4077,103,4078,103,1256,70,246,86,0,0,0,0,602,0.0001120567321777,0.8662459850311279,0.0045891798153676,4.100799560546875e-05,1.0009989738464355,0.1799069909216131,4.100799560546875e-05,1.0009989738464355,0.0089092120029139,1237,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,159,1227,1227,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,142,-122,159,70,1256,923.7579526429084,462.2782023224972,185.1172248803828,393.8198476241762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334894,317507,286482,558179,1152580,1460178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.71901659944132,5.499033523723016,3132,0,real_time_audio
10.10.0.233,53484,108.177.119.188,5228,tcp,1727740182.53923,11,14,11,15,1785,60,1434,60,2,2,1,9,7,0.0004229545593261,44.9609968662262,6.4430156187577685,0.0,45.07685613632202,3.2307475805282597,0.0,45.07685613632202,4.644145517349243,66,-66,60,1785,-60,-60,-1434,-1434,-1434,-1434,-1434,-816,60,118,230,-60,-591,-142,60,-88,60,60,-66,60,60,-60,0,0,0,0,60,1785,453.7692307692308,597.3329381954878,306.96,528.1569827238867,0,65023,220,220,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11492,180,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1550544684538412,0.2114379115279652,2,24,real_time_messaging
10.10.0.233,52860,142.250.145.188,5228,tcp,1727739160.572961,12,14,12,15,1817,60,1434,60,2,2,1,9,7,0.000241994857788,44.96736788749695,6.03614358107249,0.0,45.08044195175171,3.230666722570146,0.0,45.08044195175171,4.525502195725074,66,-66,60,1817,-60,-60,-1434,-1434,60,-1434,-1434,-1434,-818,60,118,230,-60,-591,-142,60,-88,60,60,-66,60,60,-60,0,0,0,60,1817,440.44444444444446,593.6362730589818,403.3076923076923,591.5894996487636,0,65023,220,220,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11586,126,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165509842920978,0.2068873036512226,2,25,real_time_messaging
10.9.0.93,60966,173.194.79.188,5228,tcp,1727200496.31455,12,14,12,15,1785,60,1434,60,2,2,1,9,7,0.000237226486206,44.96229505538941,5.925809919834137,0.0,45.07739615440369,3.230489151818412,0.0,45.07739615440369,4.474483352441054,66,-66,60,1785,-60,-60,-1434,-1434,-1434,60,-1434,-1434,-817,60,118,230,-60,-591,-142,60,-88,60,60,-66,60,60,-60,0,0,0,60,1785,439.22222222222223,590.8888053152755,400.84615384615387,585.9826521656195,0,65023,220,220,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11553,180,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1685873850930616,0.210734231366327,2,25,real_time_messaging
10.10.0.233,54059,173.194.69.188,5228,tcp,1727741121.849135,12,14,12,15,1753,60,1434,60,2,2,1,9,7,0.0002839565277099,44.958558797836304,5.990042249361674,0.0,45.08073902130127,3.230794293539865,0.0,45.08073902130127,4.504293350073008,66,-66,60,1753,-60,-60,-1434,-1434,60,-1434,-1434,-1434,-816,60,118,230,-60,-591,-142,60,-88,60,60,-66,60,60,-60,0,0,0,60,1753,438.0,588.1905083168838,398.38461538461536,580.4470476692331,0,65023,220,220,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10519,1001,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667812497741543,0.2084765622176929,2,25,real_time_messaging
10.10.0.233,52958,142.250.145.188,5228,tcp,1727739318.839431,11,14,11,15,1849,60,1434,60,2,2,1,9,7,0.0003070831298828,44.9721360206604,6.496319814161821,0.0,45.08346009254456,3.230936356953212,0.0,45.08346009254456,4.667705078125,66,-66,60,1849,-60,-60,-1434,-1434,-1434,-1434,-1434,-818,60,118,230,-60,-591,-142,60,-88,60,60,-66,60,60,-60,0,0,0,0,60,1849,456.3076923076923,602.9654773400425,312.08,542.0280376511902,0,65277,33,33,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10557,1001,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1537831202130123,0.2097042548359259,2,24,real_time_messaging
10.10.0.233,53726,142.250.180.138,443,udp,1727136335.840311,168,314,15,16,1292,71,1292,63,0,0,0,0,6,1.1920928955078123e-05,0.8347299098968506,0.032789321172805,0.0,0.8345391750335693,0.017372155645091,0.0,0.8347299098968506,0.0227457735053731,1292,1292,-82,-1292,-1292,-1292,1292,-1292,-1292,-1292,81,82,-254,82,125,110,1288,317,-83,-1026,-163,75,75,-69,75,-1288,79,-1292,-518,75,66,1292,610.741935483871,569.638536648429,439.4666666666666,512.8019587412756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14049,4884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.5745347619069,60.34617041270069,5,0,real_time_video
10.10.0.127,51835,216.58.209.46,443,udp,1728259107.354014,427,618,326,511,1292,71,1292,63,0,0,0,0,287,1.0013580322265623e-05,10.796360969543455,0.4470057727581443,0.0,10.796433210372925,0.3087850226553515,0.0,10.796433210372925,0.3652637406399376,1292,1292,-82,-1292,-1292,-1292,1292,-1292,-1292,-1292,81,82,-873,82,125,114,1288,1292,1292,155,128,-83,-986,-163,75,75,-65,-65,-69,76,64,1292,594.6917562724014,553.0637924419719,449.4294258373206,492.3027558245976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243307,64121,27154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7418473999943245,2.730319084040183,124,0,real_time_video
10.10.0.127,54137,216.58.209.46,443,udp,1728257728.874972,111,229,13,13,1292,74,1292,63,0,0,0,0,7,1.4066696166992188e-05,3.369291067123413,0.0378358729250796,0.0,3.373258113861084,0.0182292263580722,0.0,3.373258113861084,0.0246302197961246,1292,1292,-82,-1292,-1292,-1292,1292,-1292,-1292,-1292,81,82,79,-870,82,125,109,74,-877,206,-985,-163,75,75,-66,-67,0,0,0,0,66,1292,604.8461538461538,560.3184322883999,339.24,454.0040775147289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13138,2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.02013515164658,60.02013515164658,4,0,real_time_video
10.10.0.233,53156,216.58.204.234,443,udp,1727135410.65129,28,30,13,16,1292,71,1292,64,0,0,0,0,7,2.5033950805664062e-05,0.0587179660797119,0.014892680304391,0.0,0.0622370243072509,0.0110862334569295,0.0,0.0622370243072509,0.0129238284867385,1292,1292,-82,-1292,-1292,-1292,1292,-1292,-1292,81,-1292,82,-693,208,1288,1292,631,188,-1013,-163,73,-65,-65,-70,-874,-121,77,74,-66,0,65,1292,649.448275862069,555.9272208759169,454.5,484.6300135154653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.58243726034665,58.56299970504204,7,0,real_time_video
10.10.0.127,51967,142.251.209.42,443,udp,1728264429.497307,251,425,25,26,1292,71,1292,63,0,0,0,0,17,1.5974044799804688e-05,3.3146069049835205,0.0447807568477919,0.0,3.318789005279541,0.0263197410807889,0.0,3.318789005279541,0.0331743490061111,1292,1292,-82,-1292,-1292,-1292,1292,-1292,-1292,81,-1292,82,-695,82,125,114,1288,1292,1064,125,-83,-1012,-163,75,75,-65,-65,-870,-285,79,65,1292,497.6078431372549,507.15055885826433,420.2,436.6891342820428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22643,2735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.525399503473672,29.666415483612617,9,0,real_time_video
